sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
both,1982-01-01,5431.4,5249.0,182.4,2944.6,64.8,3.4,62.5
both,1983-01-01,5671.8,5457.0,214.9,2969.4,65.6,3.8,62.8
both,1984-01-01,5862.5,5566.7,295.8,3119.6,65.3,5.0,62.1
both,1985-01-01,5990.1,5653.4,336.8,3124.9,65.7,5.6,61.3
both,1986-01-01,6222.1,5760.1,461.9,3188.3,66.1,7.4,60.5
both,1987-01-01,6456.8,5983.9,472.9,3246.1,66.5,7.3,61.1
both,1988-01-01,6637.0,6157.2,479.8,3301.5,66.8,7.2,61.1
both,1989-01-01,6779.4,6390.9,388.5,3463.5,66.2,5.7,61.6
both,1990-01-01,7000.2,6685.0,315.2,3519.7,66.5,4.5,62.7
both,1992-01-01,7319.0,7047.8,271.2,3783.6,65.9,3.7,62.2
both,1993-01-01,7700.1,7383.4,316.8,3874.9,66.5,4.1,63.2
both,1995-01-01,7893.1,7645.0,248.1,4297.7,64.7,3.1,61.4
both,1996-01-01,8616.0,8399.3,216.8,4379.0,66.3,2.5,65.4
both,1997-01-01,8784.0,8569.2,214.9,4605.1,65.6,2.4,64.6
both,1998-01-01,8883.6,8599.6,284.0,4934.0,64.3,3.2,62.8
both,1999-01-01,9151.5,8837.8,313.7,5098.4,64.2,3.4,62.5
both,2000-01-01,9556.139,9269.23,286.909,5065.063,65.4,3.0,63.7
both,2001-01-01,9699.406,9357.022,342.384,5239.911,64.9,3.5,62.5
both,2002-01-01,9886.164,9542.617,343.548,5473.756,64.4,3.5,61.9
both,2003-01-01,10239.577,9869.743,369.834,5458.587,65.2,3.6,62.2
both,2004-01-01,10346.2,9979.5,366.6,5730.5,64.4,3.5,61.0
both,2005-01-01,10413.4,10045.4,368.1,6048.2,63.3,3.5,59.7
both,2006-01-01,10628.9,10275.4,353.6,6205.1,63.1,3.3,59.3
both,2007-01-01,10889.5,10538.1,351.4,6330.1,63.2,3.2,59.1
both,2008-01-01,11028.1,10659.6,368.5,6575.7,62.6,3.3,58.1
both,2009-01-01,11315.3,10897.3,418.0,6665.7,62.9,3.7,57.8
both,2010-01-01,12303.9,11899.5,404.4,7023.0,63.7,3.3,61.5
both,2011-01-01,12740.7,12351.5,389.2,7023.3,64.5,3.1,62.4
both,2012-01-01,13221.7,12820.5,401.2,6927.4,65.6,3.0,63.6
both,2013-01-01,13980.5,13545.4,435.1,6781.2,67.3,3.1,65.2
both,2014-01-01,14263.6,13852.6,411.1,6821.0,67.6,2.9,65.3
both,2015-01-01,14518.0,14067.7,450.3,6869.9,67.9,3.1,65.2
both,2016-01-01,14667.8,14163.7,504.1,6987.6,67.7,3.4,64.5
both,2017-01-01,14980.1,14476.8,503.3,7065.0,68.0,3.4,64.9
both,2018-01-01,15280.3,14776.0,504.3,7094.4,68.3,3.3,65.4
both,2019-01-01,15581.6,15073.4,508.2,7103.5,68.7,3.3,66.5
both,2020-01-01,15406.0,14719.4,686.6,7105.2,68.4,4.5,65.5
both,2021-01-01,15532.8,14825.2,707.6,7102.3,68.6,4.6,65.6
both,2022-01-01,15769.7,15155.2,614.5,7000.7,69.3,3.9,66.6
both,2023-01-01,16366.8,15813.4,553.4,6997.8,70.0,3.4,67.7
female,1982-01-01,1869.1,1783.7,85.4,2333.1,44.5,4.6,42.6
female,1983-01-01,1978.8,1886.5,92.2,2348.6,45.7,4.7,43.6
female,1984-01-01,2030.3,1904.1,126.2,2464.7,45.2,6.2,42.8
female,1985-01-01,2093.5,1952.8,140.6,2467.3,45.9,6.7,42.6
female,1986-01-01,2184.3,2006.6,177.7,2522.3,46.4,8.1,42.5
female,1987-01-01,2305.5,2115.9,189.6,2548.9,47.5,8.2,43.6
female,1988-01-01,2368.4,2173.2,195.1,2600.9,47.7,8.2,43.6
female,1989-01-01,2390.3,2235.5,154.8,2726.0,46.7,6.5,43.6
female,1990-01-01,2510.3,2374.3,136.1,2744.6,47.8,5.4,45.1
female,1992-01-01,2602.5,2493.6,108.9,2942.2,46.9,4.2,44.7
female,1993-01-01,2656.9,2529.6,127.3,3054.4,46.5,4.8,44.0
female,1995-01-01,2690.0,2588.4,101.6,3330.7,44.7,3.8,42.3
female,1996-01-01,2962.1,2885.0,77.1,3372.9,46.8,2.6,45.7
female,1997-01-01,2996.7,2911.5,85.3,3524.3,46.0,2.8,44.7
female,1998-01-01,2979.4,2880.7,98.7,3737.2,44.4,3.3,42.9
female,1999-01-01,3088.0,2986.5,101.4,3837.4,44.6,3.3,43.1
female,2000-01-01,3399.9,3295.7,104.2,3807.9,47.2,3.1,46.1
female,2001-01-01,3431.1,3301.1,130.1,3895.9,46.8,3.8,45.0
female,2002-01-01,3533.9,3400.8,133.1,4035.4,46.7,3.8,45.2
female,2003-01-01,3680.1,3546.1,134.0,4030.1,47.7,3.6,45.8
female,2004-01-01,3731.1,3589.1,142.0,4166.9,47.2,3.8,45.2
female,2005-01-01,3712.5,3574.8,137.7,4371.1,45.9,3.7,43.8
female,2006-01-01,3785.4,3656.8,128.7,4485.5,45.8,3.4,43.6
female,2007-01-01,3926.0,3791.0,135.0,4535.7,46.4,3.4,44.0
female,2008-01-01,3953.5,3808.5,145.0,4694.6,45.7,3.7,43.0
female,2009-01-01,4097.2,3941.6,155.6,4738.8,46.4,3.8,43.4
female,2010-01-01,4348.4,4191.7,156.8,4951.2,46.8,3.6,45.0
female,2011-01-01,4568.3,4416.7,151.6,4943.6,48.0,3.3,46.4
female,2012-01-01,4802.6,4651.0,151.6,4890.7,49.5,3.2,47.9
female,2013-01-01,5241.1,5060.8,180.3,4724.9,52.6,3.4,50.7
female,2014-01-01,5440.4,5265.1,175.4,4694.9,53.7,3.2,51.8
female,2015-01-01,5565.1,5376.7,188.5,4721.2,54.1,3.4,51.9
female,2016-01-01,5655.7,5434.0,221.7,4757.9,54.3,3.9,51.6
female,2017-01-01,5766.5,5563.3,203.2,4770.5,54.7,3.5,52.0
female,2018-01-01,5950.1,5734.2,215.9,4823.2,55.2,3.6,52.9
female,2019-01-01,6078.1,5871.0,207.1,4850.1,55.6,3.4,53.8
female,2020-01-01,5839.762092491381,5568.187396805623,271.5746956857575,4762.910616576659,55.078207662647806,4.650441086203518,52.6
female,2021-01-01,5909.826151100079,5630.5705036985755,279.2556474015033,4775.484246608769,55.307950177725004,4.72527685690926,52.8
female,2022-01-01,5993.560753497061,5753.123885893213,240.43686760384819,4783.54524187769,55.61382393445271,4.01158639233882,53.4
female,2023-01-01,6178.316032531093,5963.820006077717,214.4960264533755,4809.503086288291,56.228774479452284,3.4717554965459114,54.3
male,1982-01-01,3562.3,3465.3,97.0,611.5,85.3,2.7,82.3
male,1983-01-01,3693.1,3570.4,122.6,620.8,85.6,3.3,81.9
male,1984-01-01,3832.2,3662.6,169.6,654.9,85.4,4.4,81.3
male,1985-01-01,3896.7,3700.5,196.1,657.7,85.6,5.0,79.6
male,1986-01-01,4037.7,3753.5,284.2,666.0,85.8,7.0,78.2
male,1987-01-01,4151.3,3868.0,283.3,697.3,85.6,6.8,78.2
male,1988-01-01,4268.7,3984.0,284.7,700.6,85.9,6.7,78.2
male,1989-01-01,4389.1,4155.3,233.7,737.5,85.6,5.3,79.2
male,1990-01-01,4489.8,4310.7,179.1,775.1,85.3,4.0,79.8
male,1992-01-01,4716.5,4554.2,162.3,841.4,84.9,3.4,79.3
male,1993-01-01,5043.3,4853.8,189.5,820.6,86.0,3.8,81.8
male,1995-01-01,5203.1,5056.6,146.5,967.0,84.3,2.8,79.9
male,1996-01-01,5653.9,5514.2,139.6,1006.1,84.9,2.5,84.3
male,1997-01-01,5787.3,5657.7,129.6,1080.8,84.3,2.2,83.8
male,1998-01-01,5904.2,5718.9,185.3,1196.8,83.1,3.1,82.0
male,1999-01-01,6063.5,5851.2,212.3,1261.1,82.8,3.5,81.3
male,2000-01-01,6156.2,5973.5,182.7,1257.1,83.0,3.0,80.5
male,2001-01-01,6268.3,6055.9,212.3,1344.0,82.3,3.4,79.2
male,2002-01-01,6352.3,6141.8,210.5,1438.4,81.5,3.3,77.8
male,2003-01-01,6559.4,6323.6,235.8,1428.4,82.1,3.6,77.6
male,2004-01-01,6615.1,6390.4,224.7,1563.7,80.9,3.4,76.1
male,2005-01-01,6700.9,6470.5,230.4,1677.1,80.0,3.4,74.6
male,2006-01-01,6843.5,6618.6,224.9,1719.6,79.9,3.3,74.0
male,2007-01-01,6963.5,6747.1,216.4,1794.4,79.5,3.1,73.2
male,2008-01-01,7074.6,6851.1,223.5,1881.1,79.0,3.2,72.2
male,2009-01-01,7218.1,6955.7,262.4,1926.9,78.9,3.6,71.2
male,2010-01-01,7955.5,7707.8,247.7,2071.7,79.3,3.1,76.8
male,2011-01-01,8172.4,7934.8,237.6,2079.7,79.7,2.9,77.3
male,2012-01-01,8419.0,8169.5,249.6,2036.7,80.5,3.0,78.1
male,2013-01-01,8739.4,8484.6,254.8,2056.3,81.0,2.9,78.5
male,2014-01-01,8823.2,8587.5,235.7,2126.2,80.6,2.7,77.9
male,2015-01-01,8952.8,8691.0,261.8,2148.7,80.6,2.9,77.4
male,2016-01-01,9012.1,8729.7,282.4,2229.7,80.2,3.1,76.4
male,2017-01-01,9213.5,8913.4,300.1,2294.6,80.1,3.3,76.9
male,2018-01-01,9330.2,9041.8,288.4,2271.3,80.4,3.1,77.0
male,2019-01-01,9503.5,9202.4,301.1,2253.5,80.8,3.2,78.3
male,2020-01-01,9566.208961840863,9151.193448567175,415.01551327368736,2342.3393452698597,80.33060550402081,4.338348816434638,76.9
male,2021-01-01,9622.99977571472,9194.605766475866,428.3940092388521,2326.8208486155686,80.52840354876898,4.451771996503392,77.1
male,2022-01-01,9776.180884743157,9402.124033907165,374.05685083599167,2217.178181598186,81.51328439902574,3.8262063196861464,78.4
male,2023-01-01,10188.497611864273,9849.548320219645,338.9492916446296,2188.3356257169753,82.31909904811295,3.3267838356258816,79.6
